Référence Interne,Nom du produit,Prix vente conseillé €HT,Prix vente conseillé €HT,Prix vente €TTC,Prix achat revendeur €HT,Prix achat revendeur €TTC,Eco contribution
COC-100-N/N, Cotis I (Noire - Noire Grain Moyen),1010,1060.5,1272.6,808,969.6,50.5
COC-100-N/S, Cotis I (Noire - SPEAL),1010,1060.5,1272.6,808,969.6,50.5
COC-150-G/G, Cotis I.V (Galva - Brut Extérieure),1560,1638,1965.6,1248,1497.6,78
COC-150-N/N, Cotis I.V (Noire - Noire Grain Moyen),1495,1569.75,1883.7,1196,1435.2,74.75
COC-150-N/S, Cotis I.V (Noire - SPEAL),1495,1569.75,1883.7,1196,1435.2,74.75
COC-200-G/G, Cotis II (Galva - Brut Extérieure),2220,2331,2797.2,1776,2131.2,111
COC-200-N/N, Cotis II (Noire - Noire Grain Moyen),2130,2236.5,2683.8,1704,2044.8,106.5
COC-200-N/S, Cotis II (Noire - SPEAL),2130,2236.5,2683.8,1704,2044.8,106.5
COC-250-G/G, Cotis II.V (Galva - Brut Extérieure),2730,2866.5,3439.8,2184,2620.8,136.5
COC-250-N/N, Cotis II.V (Noire - Noire Grain Moyen),2615,2745.75,3294.9,2092,2510.4,130.75
COC-250-N/S, Cotis II.V (Noire - SPEAL),2615,2745.75,3294.9,2092,2510.4,130.75
COC-300-G/G, Cotis III (Galva - Brut Extérieure),3390,3559.5,4271.4,2712,3254.4,169.5
COC-300-N/N, Cotis III (Noire - Noire Grain Moyen),3250,3412.5,4095,2600,3120,162.5
COC-300-N/S, Cotis III (Noire - SPEAL),3250,3412.5,4095,2600,3120,162.5
COC-350-G/G, Cotis III.V (Galva - Brut Extérieure),3900,4095,4914,3120,3744,195
COC-350-N/N, Cotis III.V (Noire - Noire Grain Moyen),3735,3921.75,4706.1,2988,3585.6,186.75
COC-350-N/S, Cotis III.V (Noire - SPEAL),3735,3921.75,4706.1,2988,3585.6,186.75
COC-400-G/G, Cotis IV (Galva - Brut Extérieure),4560,4788,5745.6,3648,4377.6,228
COC-400-N/N, Cotis IV (Noire - Noire Grain Moyen),4370,4588.5,5506.2,3496,4195.2,218.5
COC-400-N/S, Cotis IV (Noire - SPEAL),4370,4588.5,5506.2,3496,4195.2,218.5
COC-450-G/G, Cotis IV.V (Galva - Brut Extérieure),5070,5323.5,6388.2,4056,4867.2,253.5
COC-450-N/N, Cotis IV.V (Noire - Noire Grain Moyen),4855,5097.75,6117.3,3884,4660.8,242.75
COC-450-N/S, Cotis IV.V (Noire - SPEAL),4855,5097.75,6117.3,3884,4660.8,242.75
COC-500-G/G, Cotis V (Galva - Brut Extérieure),5730,6016.5,7219.8,4584,5500.8,286.5
COC-500-N/N, Cotis V (Noire - Noire Grain Moyen),5490,5764.5,6917.4,4392,5270.4,274.5
COC-500-N/S, Cotis V (Noire - SPEAL),5490,5764.5,6917.4,4392,5270.4,274.5
COD-001, Corde Ondulatoire - Battle Rope - Entraînement,57.5,60.375,72.45,34.5,41.4,2.875
COD-003, Heavy Corde à sauter - Liseré Rouge,25,26.25,31.5,15,18,1.25
COD-038, Heavy Corde à Sauter - Compétition,33.33,34.9965,41.9958,20,24,1.6665
COD-138," Corde Ondulatoire - Battle Rope - Compétition (10M, D38)",74.17,77.8785,93.4542,51.92,62.3,3.7085
COD-150," Corde Ondulatoire - Battle Rope - Compétition (10M, D50)",91.67,96.2535,115.5042,73.34,88.01,4.5835
COD-238," Corde Ondulatoire - Battle Rope - Compétition (15M, D38)",91.67,96.2535,115.5042,73.34,88.01,4.5835
COL-001, Collier de Serrage 2.5kg,75,78.75,94.5,60,72,3.75
COL-003, Pinces - La paire,5.83,6.1215,7.3458,3.5,4.2,0.2915
COL-007, Pinces coudées - Stop Disque - La paire,5.83,6.1215,7.3458,3.5,4.2,0.2915
COL-248, Collier de Serrage 48mm Strongman - Stop Disque LOCK-JAW,33.33,34.9965,41.9958,26.66,31.99,1.6665
COL-500, Collier de Serrage - Stop Disque LOCK-JAW (Noir - Option Aimanté),35,36.75,44.1,28,33.6,1.75
