Référence Interne,Nom du produit, Prix vente conseillé €HT, Prix vente conseillé €HT, Prix vente €TTC, Prix achat revendeur €HT, Prix achat revendeur €TTC, Eco contribution
POW-200, Poids Olympique - WOD (20KG - Noir Mouchete Bleu),"  74,17 € ","  77,88 € ","  93,45 € ","  48,21 € ","  57,85 € ","  3,71 € "
POW-250, Poids Olympique - WOD (25KG - Noir Mouchete Rouge),"  82,50 € ","  86,63 € ","  103,95 € ","  53,63 € ","  64,36 € ","  4,13 € "
SBW-025, SandBag - Sac lesté rond XS à L (XS - 25KG - 19CM),"  40,00 € ","  42,00 € ","  50,40 € ","  24,00 € ","  28,80 € ","  2,00 € "
SBW-050, SandBag - Sac lesté rond XS à L (S - 45KG - 19CM),"  45,00 € ","  47,25 € ","  56,70 € ","  27,00 € ","  32,40 € ","  2,25 € "
SBW-075, SandBag - Sac lesté rond XS à L (M - 70KG - 29CM),"  50,00 € ","  52,50 € ","  63,00 € ","  30,00 € ","  36,00 € ","  2,50 € "
SBW-100, SandBag - Sac lesté rond XS à L (L - 105KG - 39CM),"  55,00 € ","  57,75 € ","  69,30 € ","  33,00 € ","  39,60 € ","  2,75 € "
30 33.7 1040-G, Barre de Traction - Simple - Galva (1M04),"  50,00 € ","  52,50 € ","  63,00 € ","  40,00 € ","  48,00 € ","  2,50 € "
30 33.7 1040-N," Barre de Traction - Simple (1M04, Noire Grain Moyen)","  45,00 € ","  47,25 € ","  56,70 € ","  36,00 € ","  43,20 € ","  2,25 € "
30 33.7 1040-SPEAL," Barre de Traction - Simple (1M04, Noire Speal)","  45,00 € ","  47,25 € ","  56,70 € ","  36,00 € ","  43,20 € ","  2,25 € "
30 33.7 1200-G, Barre de Traction - Simple - Galva (1M20),"  60,00 € ","  63,00 € ","  75,60 € ","  48,00 € ","  57,60 € ","  3,00 € "
30 33.7 1200-N," Barre de Traction - Simple (1M20, Noire Grain Moyen)","  55,00 € ","  57,75 € ","  69,30 € ","  44,00 € ","  52,80 € ","  2,75 € "
